timestamp,x,y,z,w
1525807157524126,0.119202,0.0988159,-0.364807,-0.918152
1525807157556139,0.111938,0.105225,-0.362244,-0.919373
1525807157571140,0.104492,0.110901,-0.359497,-0.920654
1525807157592126,0.0961304,0.118591,-0.356689,-0.921692
1525807157606167,0.0894165,0.128784,-0.352539,-0.922607
1525807157630135,0.0838013,0.140808,-0.348206,-0.923035
1525807157645141,0.0765381,0.153442,-0.34436,-0.923096
1525807157668191,0.0679321,0.16626,-0.340576,-0.922913
1525807157722158,0.0594482,0.179321,-0.336609,-0.922546
1525807157724156,0.050415,0.191345,-0.332397,-0.92218
1525807157728139,0.0408936,0.202332,-0.327271,-0.922119
1525807157750138,0.0314941,0.213806,-0.321472,-0.921936
1525807157765155,0.0213013,0.225464,-0.31427,-0.921936
1525807157788157,0.00970459,0.234985,-0.305908,-0.922607
1525807157803156,-0.00372314,0.241272,-0.297424,-0.923767
1525807157846191,-0.0203247,0.244812,-0.289551,-0.92511
1525807157856156,-0.0375977,0.245239,-0.282715,-0.926575
1525807157863157,-0.055481,0.245667,-0.276245,-0.927551
1525807157885135,-0.072876,0.245117,-0.271484,-0.927917
1525807157907159,-0.0893555,0.242981,-0.267822,-0.92804
1525807157930148,-0.103088,0.240479,-0.264221,-0.928345
1525807157945146,-0.112366,0.238953,-0.259766,-0.928894
1525807157968142,-0.11731,0.238525,-0.254944,-0.929749
1525807157991129,-0.1203,0.237671,-0.251587,-0.930481
1525807158005136,-0.123535,0.235596,-0.249817,-0.931091
1525807158036129,-0.126465,0.233276,-0.248596,-0.93158
1525807158051157,-0.127563,0.231628,-0.247314,-0.93219
1525807158065141,-0.127502,0.230103,-0.245789,-0.932983
1525807158089159,-0.127258,0.228577,-0.244385,-0.933777
1525807158111140,-0.127014,0.226746,-0.243042,-0.93457
1525807158125124,-0.126709,0.22522,-0.241577,-0.935364
1525807158149125,-0.127319,0.223572,-0.240234,-0.936035
1525807158178219,-0.128601,0.222168,-0.239319,-0.936401
1525807158185192,-0.129272,0.222229,-0.237793,-0.936707
1525807158208214,-0.127869,0.222473,-0.235046,-0.937561
1525807158231214,-0.128235,0.221252,-0.232422,-0.938416
1525807158252204,-0.132751,0.21875,-0.231995,-0.938477
1525807158268205,-0.135803,0.215637,-0.230835,-0.939087
1525807158291223,-0.137146,0.213989,-0.229126,-0.939636
1525807158312221,-0.136536,0.213562,-0.227112,-0.940369
1525807158328202,-0.137024,0.212219,-0.225525,-0.940979
1525807158351224,-0.140381,0.209045,-0.225464,-0.941162
1525807158373189,-0.144348,0.205322,-0.225891,-0.941284
1525807158388240,-0.145447,0.202759,-0.225525,-0.941772
1525807158411196,-0.146423,0.201111,-0.224121,-0.942322
1525807158432223,-0.146423,0.200317,-0.222656,-0.94281
1525807158455195,-0.144836,0.199341,-0.222168,-0.94342
1525807158471201,-0.143921,0.201599,-0.224976,-0.942383
1525807158493201,-0.144409,0.203918,-0.226868,-0.941345
1525807158508195,-0.147339,0.205994,-0.229553,-0.939819
1525807158537207,-0.143555,0.210815,-0.230164,-0.939148
1525807158552256,-0.136536,0.216003,-0.228027,-0.939575
1525807158569195,-0.137146,0.217712,-0.228943,-0.938843
1525807158591222,-0.142883,0.216248,-0.232239,-0.937561
1525807158612258,-0.147461,0.215149,-0.234436,-0.936523
1525807158628218,-0.149292,0.214905,-0.235535,-0.936035
1525807158651224,-0.14856,0.215393,-0.235474,-0.936035
1525807158672258,-0.147217,0.21521,-0.235107,-0.936401
1525807158688189,-0.148865,0.214111,-0.236145,-0.936096
1525807158711203,-0.151855,0.212769,-0.236572,-0.935852
1525807158732195,-0.14978,0.212402,-0.235596,-0.936462
1525807158748190,-0.146057,0.214661,-0.237732,-0.936035
1525807158771195,-0.145203,0.217468,-0.241089,-0.934631
1525807158792197,-0.145447,0.218323,-0.242493,-0.934021
1525807158808224,-0.1474,0.220093,-0.243225,-0.933167
1525807158837312,-0.146179,0.222351,-0.242981,-0.932861
1525807158853251,-0.144775,0.223328,-0.243408,-0.932739
1525807158876285,-0.145142,0.223083,-0.243835,-0.932617
1525807158890245,-0.145996,0.222412,-0.244385,-0.932495
1525807158913277,-0.14856,0.221069,-0.24469,-0.932312
1525807158936245,-0.152039,0.219727,-0.243835,-0.932312
1525807158950276,-0.149841,0.217285,-0.242493,-0.933594
1525807158973254,-0.14624,0.219482,-0.245544,-0.932861
1525807158996248,-0.14679,0.221008,-0.248535,-0.93158
1525807159017277,-0.148926,0.221558,-0.250977,-0.930481
1525807159033307,-0.142578,0.225159,-0.248962,-0.931152
1525807159056310,-0.135437,0.229675,-0.245605,-0.932007
1525807159077306,-0.137512,0.229919,-0.247864,-0.93103
1525807159093306,-0.140808,0.228271,-0.250366,-0.930298
1525807159116346,-0.143616,0.226929,-0.250793,-0.930054
1525807159137338,-0.144775,0.22583,-0.250732,-0.930176
1525807159153306,-0.144653,0.224548,-0.249939,-0.930725
1525807159176322,-0.146729,0.222412,-0.248962,-0.931152
1525807159204338,-0.147034,0.22052,-0.247375,-0.932007
1525807159213442,-0.144165,0.218384,-0.246216,-0.933228
1525807159236416,-0.140015,0.22113,-0.248901,-0.932556
1525807159257493,-0.139648,0.22229,-0.250061,-0.932007
1525807159273438,-0.139526,0.2229,-0.249939,-0.931885
1525807159280427,-0.136292,0.225098,-0.246887,-0.932678
1525807159301441,-0.135864,0.226074,-0.246277,-0.932678
1525807159324426,-0.136597,0.225525,-0.247192,-0.932434
1525807159340438,-0.138062,0.224365,-0.247009,-0.932556
1525807159369469,-0.141907,0.22229,-0.246521,-0.932617
1525807159384438,-0.143127,0.220764,-0.245239,-0.933105
1525807159400449,-0.144226,0.21875,-0.244141,-0.933716
1525807159421459,-0.14856,0.216003,-0.242798,-0.934021
1525807159444468,-0.147888,0.213501,-0.239929,-0.935425
1525807159460438,-0.141785,0.214844,-0.240112,-0.936035
1525807159481442,-0.138,0.218079,-0.242432,-0.935242
1525807159504438,-0.140198,0.218262,-0.243286,-0.934631
1525807159520436,-0.141357,0.21875,-0.242493,-0.93457
1525807159541443,-0.138062,0.221008,-0.240295,-0.93512
1525807159564439,-0.136536,0.222229,-0.240845,-0.934875
1525807159580438,-0.137268,0.221436,-0.241577,-0.934814
1525807159601460,-0.141113,0.219666,-0.242188,-0.934448
1525807159624470,-0.14325,0.218506,-0.241394,-0.934631
1525807159640461,-0.141907,0.217346,-0.240295,-0.935364
1525807159661459,-0.144226,0.215088,-0.240417,-0.935486
1525807159684427,-0.148682,0.213074,-0.239563,-0.935486
1525807159699468,-0.147095,0.210266,-0.238159,-0.936768
1525807159721535,-0.141785,0.212952,-0.240662,-0.93634
1525807159743530,-0.141357,0.215027,-0.24292,-0.935303
1525807159762500,-0.145203,0.215393,-0.244568,-0.934204
1525807159781513,-0.139587,0.218445,-0.241638,-0.93512
1525807159804499,-0.131409,0.222107,-0.237976,-0.936401
1525807159821496,-0.131653,0.222473,-0.23938,-0.935913
1525807159844497,-0.135803,0.220093,-0.241577,-0.935303
1525807159863528,-0.140381,0.217468,-0.242188,-0.93512
1525807159881496,-0.142212,0.216309,-0.241699,-0.935242
1525807159901512,-0.142212,0.215515,-0.240723,-0.935669
1525807159923581,-0.145203,0.213379,-0.240051,-0.935852
1525807159941554,-0.144531,0.21167,-0.238647,-0.936707
1525807159961549,-0.141785,0.211975,-0.239258,-0.93689
1525807159983566,-0.139526,0.21521,-0.242371,-0.935669
1525807160001550,-0.140015,0.216553,-0.242981,-0.935181
1525807160021578,-0.138489,0.218445,-0.241699,-0.935303
1525807160043565,-0.134155,0.221191,-0.240295,-0.935608
1525807160061549,-0.131592,0.222473,-0.241211,-0.935425
1525807160084565,-0.132996,0.221863,-0.242676,-0.935059
1525807160103617,-0.137573,0.220276,-0.243225,-0.934631
1525807160121558,-0.138733,0.219604,-0.242188,-0.934814
1525807160141564,-0.138123,0.218567,-0.241333,-0.935425
1525807160163563,-0.140564,0.216919,-0.241333,-0.935425
1525807160181550,-0.140503,0.21582,-0.240601,-0.935852
1525807160201581,-0.138367,0.21521,-0.241394,-0.936157
1525807160223586,-0.134521,0.219116,-0.244812,-0.934875
1525807160241559,-0.133423,0.221619,-0.245239,-0.934326
1525807160261663,-0.133057,0.223328,-0.244751,-0.934082
1525807160283644,-0.131226,0.225525,-0.243896,-0.934082
1525807160301627,-0.129883,0.226685,-0.244995,-0.933716
1525807160321695,-0.130615,0.226074,-0.24585,-0.933533
1525807160339659,-0.133667,0.224854,-0.246277,-0.933289
1525807160361668,-0.133911,0.224243,-0.244812,-0.933777
1525807160381701,-0.132385,0.223145,-0.243469,-0.93457
1525807160403685,-0.135376,0.220642,-0.243713,-0.934692
1525807160421679,-0.139038,0.21814,-0.242981,-0.934937
1525807160441735,-0.136902,0.215881,-0.242615,-0.935852
1525807160463735,-0.129761,0.219727,-0.244873,-0.935425
1525807160481668,-0.127014,0.223267,-0.245667,-0.934753
1525807160501683,-0.129028,0.223816,-0.245911,-0.934265
1525807160523735,-0.129639,0.224976,-0.245544,-0.934021
1525807160541670,-0.129517,0.225952,-0.246033,-0.933655
1525807160561701,-0.130493,0.225281,-0.24646,-0.933594
1525807160579684,-0.133118,0.223877,-0.246216,-0.933594
1525807160601689,-0.133179,0.222778,-0.244812,-0.934204
1525807160621700,-0.134399,0.220703,-0.244019,-0.934753
1525807160643701,-0.13739,0.217957,-0.243286,-0.93512
1525807160661674,-0.136841,0.216614,-0.241821,-0.935913
1525807160681700,-0.13385,0.216064,-0.241821,-0.936462
1525807160699710,-0.131592,0.219299,-0.244446,-0.935364
1525807160726734,-0.130615,0.221252,-0.244019,-0.935181
1525807160741700,-0.131287,0.222107,-0.242676,-0.935181
1525807160763683,-0.13147,0.22345,-0.242188,-0.934998
1525807160781680,-0.130127,0.223816,-0.242493,-0.934998
1525807160801785,-0.130981,0.222839,-0.242798,-0.935059
1525807160819753,-0.132446,0.221619,-0.242615,-0.935181
1525807160841722,-0.131226,0.220093,-0.241455,-0.936035
1525807160861791,-0.133606,0.21759,-0.241394,-0.936279
1525807160883793,-0.136597,0.215515,-0.240417,-0.936584
1525807160901793,-0.134033,0.212891,-0.239258,-0.937805
1525807160922825,-0.129028,0.216431,-0.24231,-0.936951
1525807160943892,-0.127563,0.21991,-0.243958,-0.935913
1525807160961827,-0.126343,0.221802,-0.243225,-0.935791
1525807160982824,-0.122864,0.224548,-0.241333,-0.936096
1525807161003872,-0.122131,0.226318,-0.242249,-0.935547
1525807161021824,-0.123962,0.225952,-0.244507,-0.934814
1525807161042865,-0.12616,0.225098,-0.245361,-0.934509
1525807161059880,-0.127075,0.22467,-0.245178,-0.934509
1525807161081865,-0.127625,0.223572,-0.244995,-0.934753
1525807161101880,-0.130981,0.22168,-0.244812,-0.934814
1525807161124898,-0.130493,0.220398,-0.243286,-0.935547
1525807161140865,-0.127319,0.221191,-0.244324,-0.935547
1525807161161866,-0.125732,0.224121,-0.247009,-0.934387
1525807161185883,-0.12616,0.224854,-0.246338,-0.934326
1525807161200869,-0.127197,0.225342,-0.245178,-0.934326
1525807161221864,-0.126953,0.226318,-0.244385,-0.934326
1525807161238881,-0.125793,0.226501,-0.244263,-0.934509
1525807161260866,-0.126953,0.225464,-0.244263,-0.93457
1525807161281897,-0.130127,0.223145,-0.244446,-0.934631
1525807161297866,-0.134033,0.221069,-0.244202,-0.934631
1525807161320868,-0.133911,0.219666,-0.242188,-0.935547
1525807161343897,-0.130676,0.221008,-0.243042,-0.935486
1525807161357874,-0.128357,0.223633,-0.245239,-0.93457
1525807161380868,-0.128967,0.224365,-0.245239,-0.934326
1525807161403880,-0.129456,0.225159,-0.244629,-0.934204
1525807161424914,-0.128784,0.226379,-0.24408,-0.934143
1525807161440868,-0.128662,0.226379,-0.244812,-0.934021
1525807161463898,-0.129761,0.225098,-0.244812,-0.934143
1525807161477876,-0.132019,0.223145,-0.244507,-0.934387
1525807161500865,-0.133789,0.221313,-0.244263,-0.934631
1525807161523933,-0.134216,0.220459,-0.243225,-0.935059
1525807161537903,-0.132019,0.218933,-0.242615,-0.935852
1525807161560865,-0.130127,0.221191,-0.245422,-0.934875
1525807161583896,-0.129089,0.2229,-0.245972,-0.934448
1525807161604931,-0.129028,0.223022,-0.245361,-0.934631
1525807161621008,-0.128357,0.223999,-0.243713,-0.934875
1525807161644036,-0.129211,0.223572,-0.244263,-0.934753
1525807161658001,-0.130615,0.222107,-0.245422,-0.93457
1525807161681015,-0.132019,0.22113,-0.245239,-0.934692
1525807161704004,-0.133301,0.22052,-0.245056,-0.934692
1525807161718022,-0.131348,0.220886,-0.244507,-0.934998
1525807161741060,-0.129761,0.221191,-0.24353,-0.935425
1525807161764042,-0.128784,0.220581,-0.243225,-0.935791
1525807161778060,-0.128296,0.221375,-0.244629,-0.935303
1525807161801077,-0.129333,0.221985,-0.246094,-0.934631
1525807161824044,-0.131104,0.221863,-0.246582,-0.934265
1525807161845045,-0.132507,0.222412,-0.246765,-0.933899
1525807161861059,-0.131531,0.223206,-0.245972,-0.934021
1525807161884052,-0.1297,0.22345,-0.245361,-0.934387
1525807161905066,-0.130737,0.222046,-0.246033,-0.934448
1525807161921109,-0.134888,0.219849,-0.246033,-0.934326
1525807161943128,-0.135315,0.217957,-0.243713,-0.935364
1525807161965096,-0.132507,0.218323,-0.244568,-0.935425
1525807161981177,-0.130371,0.219849,-0.246338,-0.934875
1525807162003165,-0.131348,0.220032,-0.245972,-0.934814
1525807162025150,-0.132263,0.220093,-0.245361,-0.934814
1525807162041179,-0.130737,0.220764,-0.244629,-0.935059
1525807162064150,-0.130554,0.220398,-0.245056,-0.93512
1525807162085153,-0.132385,0.219116,-0.245789,-0.934937
1525807162101180,-0.134277,0.217712,-0.245789,-0.934998
1525807162123181,-0.134583,0.217041,-0.245422,-0.935181
1525807162144177,-0.133972,0.217041,-0.245056,-0.935425
1525807162161177,-0.133789,0.217285,-0.244995,-0.935364
1525807162183177,-0.133606,0.217468,-0.245178,-0.935303
